codigoinsitucion;nombreinstitucion;nitinstitucion;codigopadreinstitucion;tipoinstitucion;codigodepartamento;nombredeparamento;codigomunicipio;nombremunicipio;codigoordeninstitucional;nombreordeninstitucional;codigoorigeninstitucional;nombreorigeninstitucional;codigocaracterinstitucional;nombrecaracterinstitucional;codigotipoacreditacion;nombretipoacreditacion;codigotipomarcocreacion;numeromarcocreacion;nombretipomarcocreacion
2,822;ESCUELA SUPERIOR DE OFTALMOLOGIA INSTITUTO BARRAQUER DE AMERICA;860.054.986-9;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;1,590;RESOLUCION
3,819;CORPORACION TECNOLOGICA INDUSTRIAL COLOMBIANA - TEINCO;800.003.963-5;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;1,048;RESOLUCION
4,812;CORPORACION CENTRO DE NUESTRA SEÑORA DE LAS MERCEDES;860.519.585-6;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;7;1,311;RESOLUCION
3,829;CORPORACION JHON F. KENNEDY;800.210.541;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;5,460;RESOLUCION
2,740;INSTITUCION UNIVERSITARIA COLOMBO AMERICANA - UNICA;830.088.283;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;849;RESOLUCION
2,702;FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD;NO INFORMA;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;10,917;RESOLUCION
4,702;FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-;860.524.219-5;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;14,878;RESOLUCION
3,719;INSTITUCION UNIVERSITARIA LATINA - UNILATINA;860516428-4;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;8,530;RESOLUCION
2,906;ESCUELA DE POSTGRADOS DE LA FUERZA AEREA COLOMBIANA CAPITAN JOSE EDMUNDO SANDOVAL - EPFAC;830.030.378 - 8;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;1,906;RESOLUCION
1,818;UNIVERSIDAD COOPERATIVA DE COLOMBIA;860.029.924-7;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;4;UNIVERSIDAD;4;N/A;19;;NO INFORMA
2,746;FUNDACION UNIVERSITARIA SANITAS;830.113.458 - 6;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;3,015;RESOLUCION
9,910;"FUNDACION UNIVERSITARIA ESCUELA COLOMBIANA DE MEDICINA HOMEOPATICA &QUOT;LUIS G. PAEZ&QUOT;";900511207-5;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;19;10,733;NO INFORMA
2,733;FUNDACIÓN UNIVERSITARIA SAN ALFONSO- FUSA-;830.081.981 -8;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;3,296;RESOLUCION
1,803;UNIVERSIDAD DE LA SALLE;860.013.720-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;4;UNIVERSIDAD;3;REGISTRO ALTA CALIDAD;7;597;RESOLUCION
3,712;FUNDACION CENTRO DE INVESTIGACION DOCENCIA Y CONSULTORIA ADMINISTRATIVA-F-CIDCA-;86.040.457;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;4,124;RESOLUCION
4,835;CORPORACION EDUCATIVA TALLER 5 CENTRO DE DISEÑO;NO INFORMA;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;7;11,108;RESOLUCION
3,808;CORPORACION TECNOLOGICA DE BOGOTA - CTB;860.404.351-5;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;6,271;RESOLUCION
4,822;CORPORACION ESCUELA DE ARTES Y LETRAS;860504543-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;6,272;RESOLUCION
4,710;POLITECNICO INDOAMERICANO;NO DISPONIBLE;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;7;9,168;RESOLUCION
9,110;SERVICIO NACIONAL DE APRENDIZAJE-SENA-;899.999.034-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;2;INSTITUCION TECNOLOGICA;4;N/A;19;30;NO INFORMA
4,721;FUNDACION UNIVERSITARIA HORIZONTE;860.516.580-6;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;11,106;RESOLUCION
1,729;UNIVERSIDAD EL BOSQUE;860.066.789-6;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;4;UNIVERSIDAD;4;N/A;7;11,153;RESOLUCION
